county_name,enrollment_share
Addison County,0.07
Bennington County,0.07
Caledonia County,0.04
Chittenden County,0.23
Essex County,0.01
Franklin County,0.05
Grand Isle County,0.01
Lamoille County,0.05
Orange County,0.05
Orleans County,0.04
Rutland County,0.09
Washington County,0.09
Windham County,0.09
Windsor County,0.1
