"year","fips_county","county_name","plan_selections","state_code"
2017,"09001","Fairfield County",34511,"CT"
2017,"09003","Hartford County",25599,"CT"
2017,"09005","Litchfield County",7507,"CT"
2017,"09007","Middlesex County",5421,"CT"
2017,"09009","New Haven County",24160,"CT"
2017,"09011","New London County",7607,"CT"
2017,"09013","Tolland County",3815,"CT"
2017,"09015","Windham County",2922,"CT"
