"postcode","pc_name","pc_type","pa_name","pa_fips","city_town","county","area_sqmi","shape_area","shape_len","zip3"
"01237","LANESBORO","NON UNIQUE","LANESBORO","28145","LANESBOROUGH, TOWN OF","Berkshire","43.784271","113397089.848","93918.1470877","012"
"01083","WARREN","PO BOX","WARREN","73055","WARREN, TOWN OF","Worcester","6.038364","15638177.6633","37828.9493601","010"
"01611","CHERRY VALLEY","NON UNIQUE","CHERRY VALLEY","13275","LEICESTER, TOWN OF","Worcester","3.235562","8379473.5934","18691.5484231","016"
"02744","NEW BEDFORD","NON UNIQUE","NEW BEDFORD","45000","NEW BEDFORD","Bristol","1.400696","3627911.98076","16080.6494873","027"
"01773","LINCOLN","NON UNIQUE","LINCOLN","35390","LINCOLN, TOWN OF","Middlesex","14.170905","36700419.2881","32876.6735984","017"
"02655","OSTERVILLE","NON UNIQUE","OSTERVILLE","51510","BARNSTABLE","Barnstable","6.698346","17349093.6554","52192.1095206","026"
"02492","NEEDHAM","NON UNIQUE","NEEDHAM","44140","NEEDHAM, TOWN OF","Norfolk","9.003665","23317761.2982","28693.9418135","024"
"01027","EASTHAMPTON","NON UNIQUE","EASTHAMPTON","19330","WESTHAMPTON, TOWN OF","Hampshire","41.330187","107037375.754","67116.316223","010"
"02659","SOUTH CHATHAM","NON UNIQUE","SOUTH CHATHAM","63515","CHATHAM, TOWN OF","Barnstable","2.041749","5288159.54269","22787.1809236","026"
"01077","SOUTHWICK","NON UNIQUE","SOUTHWICK","65790","SOUTHWICK, TOWN OF","Hampden","31.511614","81609421.534","43302.5445507","010"
"01532","NORTHBOROUGH","NON UNIQUE","NORTHBOROUGH","46785","NORTHBOROUGH, TOWN OF","Worcester","18.707781","48449697.3712","30228.3938709","015"
"02721","FALL RIVER","NON UNIQUE","FALL RIVER","23000","FALL RIVER","Bristol","6.165801","15969550.2565","30605.7894146","027"
"02054","MILLIS","NON UNIQUE","MILLIS","41480","MILLIS, TOWN OF","Norfolk","12.290299","31829468.7322","28077.339811","020"
"01950","NEWBURYPORT","NON UNIQUE","NEWBURYPORT","45245","NEWBURYPORT","Essex","8.466639","21929427.5137","33763.6132417","019"
"01368","ROYALSTON","NON UNIQUE","ROYALSTON","58545","ROYALSTON, TOWN OF","Worcester","42.301436","109560114.715","49562.9921978","013"
"01038","HATFIELD","NON UNIQUE","HATFIELD","29230","HATFIELD, TOWN OF","Hampshire","9.816328","25422633.894","26360.6544806","010"
"02464","NEWTON UPPER FALLS","NON UNIQUE","NEWTON UPPER FALLS","45700","NEWTON","Middlesex","0.486056","1258793.01788","6248.33975709","024"
"01338","BUCKLAND","NON UNIQUE","BUCKLAND","09560","BUCKLAND, TOWN OF","Franklin","0.941582","2438618.81941","10056.2050279","013"
"01033","GRANBY","NON UNIQUE","GRANBY","26500","GRANBY, TOWN OF","Hampshire","28.021338","72569843.4357","34182.62589","010"
"01053","LEEDS","NON UNIQUE","LEEDS","34725","NORTHAMPTON","Hampshire","4.743651","12285209.1836","19575.2314001","010"
"02717","EAST FREETOWN","NON UNIQUE","EAST FREETOWN","19120","FREETOWN, TOWN OF","Bristol","19.969659","51720557.0656","50593.7424641","027"
"02738","MARION","NON UNIQUE","MARION","38505","MARION, TOWN OF","Plymouth","14.139602","36621464.4791","62081.9433604","027"
"01257","SHEFFIELD","NON UNIQUE","SHEFFIELD","61030","SHEFFIELD, TOWN OF","Berkshire","36.048196","93358047.465","64014.8546617","012"
"01129","SPRINGFIELD","NON UNIQUE","SPRINGFIELD","67000","SPRINGFIELD","Hampden","3.246285","8407254.37768","19182.555475","011"
"02561","SAGAMORE","PO BOX","SAGAMORE","58965","BOURNE, TOWN OF","Barnstable","0.880842","2281335.58106","6346.91528311","025"
"02043","HINGHAM","NON UNIQUE","HINGHAM","30175","HINGHAM, TOWN OF","Plymouth","22.51059","58298012.9434","59464.8589842","020"
"02367","PLYMPTON","NON UNIQUE","PLYMPTON","54380","PLYMPTON, TOWN OF","Plymouth","15.019257","38897587.3791","27430.8910021","023"
"02032","EAST WALPOLE","NON UNIQUE","EAST WALPOLE","20730","WALPOLE, TOWN OF","Norfolk","2.627497","6804703.72893","12450.3009096","020"
"01376","TURNERS FALLS","NON UNIQUE","TURNERS FALLS","70815","MONTAGUE, TOWN OF","Franklin","5.787461","14989093.1565","21053.5765638","013"
"01468","TEMPLETON","NON UNIQUE","TEMPLETON","69240","TEMPLETON, TOWN OF","Worcester","22.483992","58231320.2193","42016.2887713","014"
"01342","DEERFIELD","NON UNIQUE","DEERFIELD","16635","DEERFIELD, TOWN OF","Franklin","21.206226","54921882.2532","42145.1630277","013"
"01224","BERKSHIRE","NON UNIQUE","BERKSHIRE","05315","LANESBOROUGH, TOWN OF","Berkshire","0.345884","895797.878791","7992.169957","012"
